cohort_id,condition,week,n,n_low,n_fail,recall_low,recall_fail,precision_low,auc_low
STAT0002_2021,online,1,342,34,6,0.3235294117647059,0.3333333333333333,0.1527777777777778,0.5966386554621849
STAT0002_2021,online,2,342,34,6,0.3235294117647059,0.6666666666666666,0.15942028985507245,0.6182200152788389
STAT0002_2021,online,3,342,34,6,0.3235294117647059,0.6666666666666666,0.15942028985507245,0.6691176470588235
STAT0002_2021,online,4,342,34,6,0.38235294117647056,0.6666666666666666,0.18840579710144928,0.6959511077158136
STAT0002_2021,online,5,342,34,6,0.35294117647058826,0.5,0.17391304347826086,0.7076967150496563
STAT0002_2021,online,6,342,34,6,0.38235294117647056,0.5,0.18840579710144928,0.7116119174942704
STAT0002_2021,online,7,342,34,6,0.4117647058823529,0.6666666666666666,0.2028985507246377,0.7202062643239113
STAT0002_2021,online,8,342,34,6,0.4411764705882353,0.6666666666666666,0.21739130434782608,0.7250763941940412
STAT0002_2021,online,9,342,34,6,0.47058823529411764,0.6666666666666666,0.2318840579710145,0.7282276546982429
STAT0002_2021,online,10,342,34,6,0.47058823529411764,0.6666666666666666,0.2318840579710145,0.7355805958747135
STAT0002_2021,online,11,342,34,6,0.4411764705882353,0.6666666666666666,0.21739130434782608,0.7325248281130634
STAT0002_2223,in_person,1,267,28,7,0.42857142857142855,0.7142857142857143,0.2222222222222222,0.6802151823072325
STAT0002_2223,in_person,2,267,28,7,0.42857142857142855,0.7142857142857143,0.2222222222222222,0.7017334130304842
STAT0002_2223,in_person,3,267,28,7,0.42857142857142855,0.7142857142857143,0.2222222222222222,0.7250448296473401
STAT0002_2223,in_person,4,267,28,7,0.35714285714285715,0.42857142857142855,0.18518518518518517,0.6984459055588763
STAT0002_2223,in_person,5,267,28,7,0.32142857142857145,0.42857142857142855,0.16666666666666666,0.7135385534967125
STAT0002_2223,in_person,6,267,28,7,0.32142857142857145,0.5714285714285714,0.16666666666666666,0.7301255230125523
STAT0002_2223,in_person,7,267,28,7,0.35714285714285715,0.42857142857142855,0.18518518518518517,0.7417812313209803
STAT0002_2223,in_person,8,267,28,7,0.39285714285714285,0.42857142857142855,0.2037037037037037,0.7513448894202033
STAT0002_2223,in_person,9,267,28,7,0.42857142857142855,0.5714285714285714,0.2222222222222222,0.762104004781829
STAT0002_2223,in_person,10,267,28,7,0.4642857142857143,0.42857142857142855,0.24074074074074073,0.7585176329946205
STAT0002_2223,in_person,11,267,28,7,0.4642857142857143,0.42857142857142855,0.24074074074074073,0.7622534369396294
STAT0004_2021,online,1,312,39,9,0.4358974358974359,0.2222222222222222,0.2698412698412698,0.6937165398703861
STAT0004_2021,online,2,312,39,9,0.48717948717948717,0.4444444444444444,0.30158730158730157,0.7094017094017094
STAT0004_2021,online,3,312,39,9,0.41025641025641024,0.5555555555555556,0.25396825396825395,0.717573025265333
STAT0004_2021,online,4,312,39,9,0.46153846153846156,0.5555555555555556,0.2857142857142857,0.7169155630694092
STAT0004_2021,online,5,312,39,9,0.358974358974359,0.4444444444444444,0.2222222222222222,0.703202780125857
STAT0004_2021,online,6,312,39,9,0.38461538461538464,0.5555555555555556,0.23809523809523808,0.6954071569456185
STAT0004_2021,online,7,312,39,9,0.4358974358974359,0.6666666666666666,0.2698412698412698,0.6897717666948436
STAT0004_2021,online,8,312,39,9,0.4358974358974359,0.6666666666666666,0.2698412698412698,0.6887386118155349
STAT0004_2021,online,9,312,39,9,0.41025641025641024,0.5555555555555556,0.25396825396825395,0.6840424532732224
STAT0004_2021,online,10,312,39,9,0.41025641025641024,0.5555555555555556,0.25396825396825395,0.6973795435333897
STAT0004_2021,online,11,312,39,9,0.41025641025641024,0.6666666666666666,0.25396825396825395,0.6893960740114586
STAT0004_2122,hybrid,1,172,3,0,1,NA,0.08333333333333333,0.8994082840236687
STAT0004_2122,hybrid,2,172,3,0,1,NA,0.08571428571428572,0.8816568047337278
STAT0004_2122,hybrid,3,172,3,0,0.6666666666666666,NA,0.05714285714285714,0.8698224852071006
STAT0004_2122,hybrid,4,172,3,0,0.6666666666666666,NA,0.05714285714285714,0.8145956607495068
STAT0004_2122,hybrid,5,172,3,0,0.6666666666666666,NA,0.05714285714285714,0.8284023668639053
STAT0004_2122,hybrid,6,172,3,0,0.6666666666666666,NA,0.05714285714285714,0.8481262327416174
STAT0004_2122,hybrid,7,172,3,0,1,NA,0.08571428571428572,0.8599605522682445
STAT0004_2122,hybrid,8,172,3,0,1,NA,0.08571428571428572,0.8875739644970414
STAT0004_2122,hybrid,9,172,3,0,1,NA,0.08571428571428572,0.8856015779092702
STAT0004_2122,hybrid,10,172,3,0,1,NA,0.08571428571428572,0.9191321499013807
STAT0004_2122,hybrid,11,172,3,0,1,NA,0.08571428571428572,0.9506903353057199
STAT0004_2223,in_person,1,197,7,2,0.14285714285714285,0,0.025,0.5285714285714286
STAT0004_2223,in_person,2,197,7,2,0.42857142857142855,0,0.075,0.5984962406015037
STAT0004_2223,in_person,3,197,7,2,0.42857142857142855,0,0.075,0.6676691729323309
STAT0004_2223,in_person,4,197,7,2,0.42857142857142855,0,0.075,0.618796992481203
STAT0004_2223,in_person,5,197,7,2,0.42857142857142855,0,0.075,0.6631578947368422
STAT0004_2223,in_person,6,197,7,2,0.42857142857142855,0,0.075,0.6804511278195489
STAT0004_2223,in_person,7,197,7,2,0.2857142857142857,0,0.05,0.6834586466165413
STAT0004_2223,in_person,8,197,7,2,0.2857142857142857,0,0.05,0.6932330827067669
STAT0004_2223,in_person,9,197,7,2,0.42857142857142855,0,0.075,0.7082706766917293
STAT0004_2223,in_person,10,197,7,2,0.42857142857142855,0.5,0.075,0.6992481203007519
STAT0004_2223,in_person,11,197,7,2,0.5714285714285714,0.5,0.1,0.693984962406015
